fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,1820,1920,1770488144.4293,1770488150.9539,1770488147.68011,0.06502122056682726,0.2662,0.2961012445093738,1.89916048821578,8.67,2.0077031653110478,col_20260207_191320_5hz
LOW,1840,1940,1770488145.7245,1770488152.2757,1770488148.9999664,0.06413902252919045,0.2662,0.3032768571783874,1.7695469928769905,8.67,1.9025293690242997,col_20260207_191320_5hz
LOW,1860,1960,1770488147.0421,1770488153.6311,1770488150.323923,0.06285030752510284,0.2662,0.3072587538215958,1.533216002394966,8.67,1.7096025853981387,col_20260207_191320_5hz
LOW,1880,1980,1770488148.3755,1770488154.9644,1770488151.6550426,0.05910593435518975,0.2549,0.31704029365366165,1.272204617976212,6.07,1.4937995180076877,col_20260207_191320_5hz
LOW,1900,2000,1770488149.6911,1770488156.2461,1770488152.980739,0.06006915696928,0.2549,0.3153156106189479,1.3206629963771983,6.359999999999999,1.5553176524427414,col_20260207_191320_5hz
LOW,1920,2020,1770488151.0206,1770488157.5706,1770488154.3045287,0.060529956220040336,0.2622,0.3154419946677994,1.3057607897314119,6.949999999999999,1.5676077315451082,col_20260207_191320_5hz
LOW,1940,2040,1770488152.3424,1770488158.877,1770488155.6269433,0.06141997619667399,0.2622,0.31198751801955155,1.4256839025534376,6.949999999999999,1.607260713138973,col_20260207_191320_5hz
LOW,1960,2060,1770488153.6977,1770488160.1739,1770488156.946611,0.06453530766952303,0.2685,0.3059752120679059,1.6128301212465,7.16,1.7937240590458723,col_20260207_191320_5hz
LOW,1980,2080,1770488155.0311,1770488161.5073,1770488158.2551851,0.06589455724868329,0.2897,0.2964707164291273,1.9442927865936241,7.83,2.0270821394309606,col_20260207_191320_5hz
LOW,2000,2100,1770488156.3128,1770488162.8448,1770488159.572686,0.06568797584794343,0.2897,0.2973201151957264,1.9784865023547673,8.14,2.052071636176476,col_20260207_191320_5hz
LOW,2020,2120,1770488157.6373,1770488164.1518,1770488160.8904982,0.06290074511482356,0.2724,0.2926477688279889,1.9863449750735644,8.14,2.027372684042083,col_20260207_191320_5hz
LOW,2040,2140,1770488158.9436,1770488165.4558,1770488162.2065961,0.0639595194713031,0.2724,0.2954686489291208,1.9397165024817413,8.14,2.013936195612959,col_20260207_191320_5hz
LOW,2060,2160,1770488160.2406,1770488168.4033,1770488163.538869,0.06310806525318297,0.2724,0.29552680419887467,1.7556635099015985,8.14,1.79937433570672,col_20260207_191320_5hz
LOW,2080,2180,1770488161.5739,1770488168.7284,1770488165.0543323,0.060460857585714074,0.23409999999999997,0.3038069587748115,1.4509966781491956,7.33,1.5349892507766951,col_20260207_191320_5hz
LOW,2100,2200,1770488162.9114,1770488170.0618,1770488166.4978988,0.05981239506991841,0.23409999999999997,0.3049100700206538,1.4131788952570725,7.25,1.501678061370013,col_20260207_191320_5hz
LOW,2120,2220,1770488164.2185,1770488171.3446,1770488167.9340992,0.06035147885512003,0.2485,0.3082850684026069,1.3812373402134768,7.25,1.5775338348193995,col_20260207_191320_5hz
LOW,2140,2240,1770488165.5225,1770488172.6761,1770488169.3741462,0.06220738717387189,0.2485,0.3056561926413401,1.3744412100923051,7.25,1.5449789642580898,col_20260207_191320_5hz
LOW,2160,2260,1770488168.4033,1770488173.9948,1770488170.8006012,0.06046118619411961,0.2563,0.30999531093227845,1.6065421998814724,7.300000000000001,1.7185941929379374,col_20260207_191320_5hz
LOW,2180,2280,1770488168.7951,1770488175.3037,1770488172.0480912,0.06253575454090243,0.2639,0.3044928777492176,1.8262844110378864,7.9,1.9430766840245908,col_20260207_191320_5hz
LOW,2200,2300,1770488170.078,1770488176.6371,1770488173.3631508,0.06376415450705827,0.2639,0.3055865949285079,1.7737833125835862,7.9,1.8578681331031004,col_20260207_191320_5hz
LOW,2220,2320,1770488171.4113,1770488177.9399,1770488174.6822042,0.06512115056569563,0.2556,0.3039998511512793,1.7202208550067055,7.9,1.7704906099722755,col_20260207_191320_5hz
LOW,2240,2340,1770488172.7428,1770488179.2667,1770488176.0005522,0.06345363203946643,0.2644,0.3083896416872655,1.6851213131403922,7.9,1.7343765450443567,col_20260207_191320_5hz
LOW,2260,2360,1770488174.0615,1770488180.5836,1770488177.318491,0.06507935441443777,0.2661,0.30543675171792933,1.4858629647447306,7.56,1.6056341426364849,col_20260207_191320_5hz
LOW,2280,2380,1770488175.3704,1770488181.9055,1770488178.6369028,0.06221376422464726,0.2661,0.30831321298316106,1.2582615427644603,5.89,1.358933037349523,col_20260207_191320_5hz
LOW,2300,2400,1770488176.6732,1770488183.2388,1770488179.9572484,0.061161586179562084,0.2661,0.3069314936594158,1.3065734422526736,6.109999999999999,1.41103153756392,col_20260207_191320_5hz
LOW,2320,2420,1770488178.0066,1770488184.5632,1770488181.2819085,0.06167178981511725,0.2661,0.3118381963454766,1.3749412205618101,6.109999999999999,1.5004745915876085,col_20260207_191320_5hz
LOW,2340,2440,1770488179.3333,1770488185.8768,1770488182.604599,0.06089675369837049,0.2505,0.3076208131775222,1.4109135303058087,6.109999999999999,1.5370930355707166,col_20260207_191320_5hz
LOW,2360,2460,1770488180.6503,1770488187.1972,1770488183.92697,0.058412685266130346,0.228,0.31054313999829397,1.5234967541809863,6.109999999999999,1.6116786280149031,col_20260207_191320_5hz
LOW,2380,2480,1770488181.9721,1770488188.5157,1770488185.2495096,0.06507133162922056,0.2822,0.30570568885776395,1.6205020055526003,6.74,1.7384754815642354,col_20260207_191320_5hz
LOW,2400,2500,1770488183.2965,1770488189.849,1770488186.5715497,0.06804056562816038,0.2822,0.3041843685990456,1.6241764035966044,6.74,1.7475253932346737,col_20260207_191320_5hz
LOW,2420,2520,1770488184.6299,1770488191.1397,1770488187.886844,0.06438608983313088,0.2807,0.29725094819024545,1.7257504918150828,6.87,1.8118217351604986,col_20260207_191320_5hz
