id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz,vibration_dps,accel_mag_g
174,1770488028.0817,30.1,3.04145,0.2268,0.1531,-1.0725,-2.42,-1.72,-0.66,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.081700Z,15.0,13.34,3.04145,1.1068577596059939
175,1770488028.1484,30.1,4.63261,0.241,0.0417,-1.0593,3.19,2.53,2.21,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.148400Z,15.0,13.34,4.63261,1.0871689749068447
176,1770488028.1976,30.1,21.2803,0.3467,0.1648,-1.0505,1.88,0.85,-21.18,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.197599Z,15.0,13.34,21.2803,1.1184409595503912
177,1770488028.2643,30.2,22.4793,0.3838,0.0586,-1.0713,-2.56,0.37,-22.33,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.264300Z,15.0,13.34,22.4793,1.1394823780998107
178,1770488028.331,30.2,9.56089,0.3015,0.0352,-1.1006,-6.81,2.05,-6.39,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.331000Z,15.0,13.34,9.56089,1.1416924498305137
179,1770488028.3976,30.2,7.04767,0.3618,0.0222,-1.1179,-1.3,2.79,-6.34,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.397599Z,15.0,13.34,7.04767,1.1751989150777835
180,1770488028.4643,30.1,12.3241,0.3191,-0.0244,-1.1038,-5.9,0.0,-10.82,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.464299Z,15.0,13.34,12.3241,1.149258286896379
181,1770488028.531,30.1,20.6813,0.344,0.0952,-1.0996,-4.81,-0.41,-20.11,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.530999Z,15.0,13.34,20.6813,1.156079236038776
182,1770488028.5976,30.2,20.0204,0.3987,0.0522,-1.063,-0.14,0.63,-20.01,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.597599Z,15.0,13.34,20.0204,1.1365102419248143
183,1770488028.6643,30.1,14.5699,0.3606,0.1672,-1.0579,-1.05,-0.8,-14.51,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.664299Z,15.0,13.34,14.5699,1.1301064595868833
